productId,userId,helpfulness numerator,helpfulness denominator,score,time,summary,text
B003AI2VGA,A328S9RN3U5M68,4,4,3.0,1181952000,Worthwhile and Important Story Hampered by Poor Script and Production,"THE VIRGIN OF JUAREZ is based on true events surrounding the crime problems of Juarez, Mexico reflected in the gringo exploitation of businesses in neighboring El Paso, Texas.  The story contains many important facts that desperately need to be brought into the light, but the impact of the film falters because of the choices made by the writer and director.<br /><br />Karina Danes (Minnie Driver) is a journalist for a Los Angeles newspaper who has flown to Juarez to investigate the multiple (in the hundreds) killings of young women. The targets for these murders seem to be young women working in the US sponsored sweatshops in Juarez who are picked up at night after work, raped, beaten and killed.  Danes is convinced the Juarez police force is doing nothing and takes on the mission of exposing the tragedies, in part due to her own past issues of being too idle with similar crimes in the US.  She meets Father Herrera (Esai Morales) and a community activist Patrick (Angus MacFadyen) and together they probe the police files and follow the most recent murder, discovering along the way a survivor named Mariela (Ana Claudia Talanc&oacute;n), a frightened young girl whose memory of her rape and beating is erased by her apparent vision of the Virgin Mary.  A father of one of the victims, Isidro (Jorge Cervera, Jr.) nurtures Mariela and helps her to escape the hospital, placing her in a 'church' where she becomes a 'saint' to the people of Juarez who long for the crimes to end.  Mariela appears to the public with the stigmata of bleeding hands and offers hope to the victims' families.  Danes works hard to discover evidence that will expose the perpetrators, taking a sheet of photos of 'most wanted men' from the police office of Detective Lauro (Jacob Vargas), and works with the police and Father Herrera to resolve the tragic chain of events that continue in Juarez. Fearing for Mariela's life, they transport her to Los Angeles where mysterious events end the story.<br /><br />The squeaky, mawkish script was written by Michael Fallon and directed by Kevin James Dobson.  Had their vision been more directed toward defining the line between realism and fanaticism, the story would possibly have been better related.  There are some good performances by Driver, Talanc&oacute;n, Morales, and Vargas but the minor roles vary in quality.  Reporting atrocities such as the one this film addresses is a valid and valuable contribution of contemporary cinema.  It is sad when script and the production dull the impact.  Grady Harp, June 07"
B00006HAXW,AD4CDZK7D31XP,64,65,5.0,1060473600,A  Rock N Roll History Lesson,"Over the past few years, public television has put on a series of vintage &quot;Doo Wop&quot;  and Rock 'N' Roll concert reunions that have been absolutely flawless.  This latest dvd &quot;Rock, Rhythm And &quot;Doo Wop&quot;, is a total delight to ones ears.  Keep in mind all these vintage artists recorded in an era, when vocal talent was essential, to get a recording contract?  They did not have modern day computerized overdub technology, which enables many modern day artist's with limited ability to survive?  This dvd reads like a who's who of early rock.  The architect of rock, Little Richard starts off this concert with a stomping version of &quot;Keep-A Rockin&quot;, and the line-up that follows, keeps this concert at a premium level of performances.  You get to see and hear Lou Christie, Little Anthony and the Imperials, Jerry Butler, Lloyd Price, Joey Dee and the Starliters, Frankie Valli, Fred Paris and the Satins and the Countours, just to name a few.  However, nothing prepared me for the performance of Jay Black and the Americans?  After singing &quot;This Magic Moment&quot;, Jay gave a performance, that could make anybody from the babyboomer era feel young again.  As he prepared to sing &quot;Cara Mia&quot;, he joked that he first recorded the song at age 25, and must now at age 62, hit those same notes?  Hit those notes he did!  Using that opera trained voice, he delivered a powerful performance that had the entire audience on it's feet, showering him with a well deserved standing ovation.  If you are a fan of the old-time vocal and rock sound of the 50's and 60's, this is an absolute must have dvd.  I highly recommend this to everyone, who enjoys those golden oldies."
B00006HAXW,A3Q4S5DFVPB70D,26,26,5.0,1041292800,A  MUST-HAVE  video if you grew up in the 50's or 60's,"I recvd this video (DVD version) as a Christmas gift.  I put it on about 11 pm just to see what it was like, and finally got dragged to bed about 4:30 in the morning.  It's the best ""Oldies"" video I've ever seen.  It was recorded LAST YEAR by the original singers - now mostly in their 60's, and they're still great - Jay and the Americans, Lou Christie, The Five Satins, Little Richard, Kathy Young, Little Anthony, The Fleetwoods, Jerry Butler, Lloyd Price, Frankie Valli and about 10 other acts.  These guys sing for sheer pride and the love of singing, and it all shows.  It's a concert for PBS patrons filmed in Pittsburgh, PA, and distributed around the country to donors.  They mention that this was the third concert, and I want ALL of them.  Although the Amazon notes say this is a black and white video it is actually in color and very well produced.  The producer in fact is just a kid -only about 30 years old - but treats all of these acts with the greatest of respect, and truly celebrates their works. The DVD also has about an hour of excellent interviews."
B00006HAXW,A2P7UB02HAVEPB,24,24,5.0,1061164800,If You Like DooWop You Gotta Have This DVD,"Wow! When I saw this show on PBS--that was it, I had to have this!  What great tunes!  And seeing these groups--terrific! I couldn't find a list of songs, so here's some of them: Keep-a-Knockin--Little Richard; Sea Cruise--Frankie Ford; A Thousand Stars--Kathi Young (still cute!) and the Innocents; Silhouettes by the Rays; Do You Love Me--The Contours; Have You Heard--The Duprees; over 40 songs in all, including Little Anthony, The Five Satins, Lloyd Price, The Skyliners, The Fleetwoods, Jay &amp; the Americans (This Magic Moment, Cara Mia and Come a Little Bit Closer!); Lou Christie; plus Franki Valli and Jerry Butler as hosts. Plus interviews with Kathi Young, Lou Christie and the producer TJ Lubinski (thanks TJ!)"
B00006HAXW,A2TX99AZKDK0V7,22,23,4.0,1039564800,I expected more.,"I have the Doo Wop 50 and 51 DVDs, and was anxiously waiting for Rock, Rhythm and Doo Wop to arrive. From the first video, which featured the cr&egrave;me de la cr&egrave;me of the 50s groups, to Doo Wop 51, it was clear that there was a giant leap forward in terms of production. Better lighting, better stage layout, and better sound quality.<br />Sadly, in terms of editing, they went overboard this time. Excessive use of pre-recorded clapping and cheering really irritated me. There are times where you can hardly hear the singing, because the pre-recorded cheering was so loud. Imagine 5 stadiums hosting the Super Bowl all crammed into one theater. It's simply too artificial. We want not only the authentic groups, but also the authentic reaction from who was there. And believe me, we don't need any extra cheering to get more goosebumps from watching these wonderful groups.<br />For whoever edited the show, I would also be careful with too much filming of the spectators during the songs and make sure to look back at Doo Wop 51 for better camera angles of the groups.<br />Is this DVD worth buying? Definately, because groups/singers Fred Parris &amp; The Satins, Little Anthony &amp; The Imperials, Little Richard, The Limelites, Jerry Butler, Lloyd Price, Bobby Lewis, and the absolutely fantastic Contours make it all worthwhile.<br />I hope TJ Lubinsky keeps on making shows like this, they're a wonderful experience for all ages."
B004BH1TN0,AWPODHOB4GFWL,34,35,5.0,1012003200,As Crisp As A Live Recording Can Be,"Recording with an audience of less than 1,000, this DVD feels like a club recording with it's Dolby Ditigal and DTS audio sound.  Host Mark McEwen gushes a tad much and the 'Live by Request' gimmick is not original.  Still, it manages to captivate.  Fifteen songs (one a medley of eight), five being from the last album, it's a collection that defies the ear with the groups tight instrumentals and harmonies.  &quot;She Keep On Coming&quot; and &quot;You Should Be Dancing&quot; rock the house, while &quot;Sacred Trust&quot; and &quot;How Can You Mend A Broken Heart&quot; lull the audience into a trance.  This recording is unique in that there are plenty of star 'call-ins' and lots of joking around.  Its surprising to hear Barry sing, &quot;Woman In Love&quot;, but &quot;Nights On Broadway&quot; is, once again, cut far too short for a song that contains some of their best work.<p>This is as close as a great live recording gets and a DVD well worth owning.  &quot;One Night Only&quot; is a great live recording as well, but nothing matches the intimacy of this presentation."
B000063W1R,A2198FZZMTJ38H,253,269,5.0,1012608000,"Count on revenge, and then some.","After attending the release of ""The Count of Monte Cristo,"" a friend made the remark that he believed the movie could benefit from additional fight sequences. Immediately my mind shot back to last year's ""The Musketeer,"" also based (rather loosely, I might add) on another of Alexandre Dumas' famous classics. In that film, character development, story, and tone were sacrificed for the sake of creating yet another movie in which a choreographer of Chinese descent was allowed to make an impression on action aficionados by dazzling them with techniques reminiscent of ""Crouching Tiger, Hidden Dragon."" <p>What a relief that this latest adaptation of a Dumas novel strays from the usual clich&eacute;s and redundancy of bringing a classic work of literature to the screen, coming out as a sturdy, well-guided costume drama that combines action, intensity, passion, and most importantly, revenge. With a script that keeps much of the novel's intricacies intact, a cast befitting of their roles, and a director who keeps things interesting at all times, this is one swashbuckling adventure that pleases in all fields. <p>The story centers around Edmund Dantes (Jim Caviezel), a sailor from a middle class upbringing in the town of Marseilles. He has a friend, Fernand Mondego (Guy Pearce), whose father is a wealthy aristocrat; despite his rich lifestyle, Mondego still harbors a slight jealousy for Dantes, who has just been promoted to captain of his vessel, allowing him the opportunity to marry his longtime love, Mercedes (Dagmara Dominczyk). Overcome by envy, Mondego concocts a vicious plan with the equally jealous first mate of Dantes' boat that lands a wrongfully accused Dantes in the Chateau d'If for more than a decade.<p>During his years of imprisonment, Dantes' resolve is strengthened by brutal beatings, and by his friendship with fellow prisoner Faria (Richard Harris), who teaches Dantes to read and write, the articulate moves of swordplay, and offers him the location of a long-lost treasure that would give him the means to exact his revenge on those who have wronged him. Faria's death provides Dantes the method of escape he needs, and once out, he begins his quest. <p>The second half of the movie takes the movie to new heights of interest, as Dantes makes his big entrance in Paris as the Count of Monte Cristo, bent on exacting his revenge on Mondego, now married to a repressed, sullen Mercedes, and on Villefort, the police chief who played a role in his wrongful incarceration. Anyone familiar with revenge plots is well aware that this is a dish best served cold, and many will delight in the cooly calculated revelations and confrontations that arise as Dantes's master plan begins to unfold. <p>Accompanying this feeling of satisfaction is the movie's wondrous appearance and execution. The look and feel of the film drips with the quality of the swashbuckling adventures of yesteryear, with its themes of vengeance and nobility, it's glorious costumes and set design, and a final showdown that provides a slam-bang finish complete with suspense and fist-clenching thrills. Reynolds, and screenwriter Jay Wolpert, have realized the novel for the screen in a manner that is pleasing to the eye and the mind, keeping in touch with everything that has immortalized Dumas' work without reworking key moments to make room for modern artistic influences.<p>If this weren't enough to please popcorn audiences and literary buffs, the cast is completely remarkable. Jim Caviezel plays Dantes with the conviction of a man wrongfully accused; by the time he escapes prison, we are all for him and his brilliantly conceived plan. His chemistry with leading lady Dagmara Dominczyk is a welcome slice of old-fashioned romance, while his scenes with Guy Pearce provide a nice contrast of nobility and jealousy, which Pearce perfects in his performance as Mondego. Also worthy of noting are the appearances of Richard Harris and Lius Guzman, who provide humorous touches throughout. <p>More than anything else, this latest big-screen version of ""The Count of Monte Cristo"" is a wonderful popcorn adventure replete with everything you could possibly ask for in a film of this sort. Overall, it remains faithful enough to its source, and keeps us enlightened and entertained throughout its well-acted, well-directed, well-executed duration. Count on revenge, and then some."
B000063W1R,A328S9RN3U5M68,104,110,5.0,1031875200,A surprisingly fresh and superb adventure film,"In this time of fire and explosion oriented blockbuster movies it is indeed refreshing to find a remake of a classic novel of the quality of The Count of Monte Cristo currently available.  I happened to nonchalantly choose this film at the DVD outlet as a source of viewing background for an evening of desk work.  WRONG!  This superbly made film of the Dumas' novel is excellent and gripping on every level.  The quality of the film, shot in Ireland and Malta, is visually stunning, the story remains true to the original, and the cast is outstanding.  James Caviezel makes a star turn in the title role, aided by the always excellent Guy Pearce, the veteran Richard Harris, the here venomous James Frain, a fine and very different role for Luis Guzman, and the elegantly beautiful Dagmara Domincyzk.  The movie is beautifully paced, the long prison scenes allow Caviezel and Harris to create tremendous rapport, and the age old theme of REVENGE has rarely been played out so well.  This is a beautiful period piece, finely photographed and scored and edited and directed.  For a taste of just how exciting the old tales can be visually, treat yourself to an evening with The Count!"
B000063W1R,A2V3P1XE33NYC3,85,89,4.0,1054857600,"Not the Story, but Enjoyable Nontheless","If you have never discovered the wonderful world of Alexandre Dumas, I urge you to run, not walk to the local library or bookstore and obtain a copy of ""Le Comte de Monte Christo."" I also recommend reading the unabridged version of this classic tale about a man who takes revenge on his enemies. One thing is certain: do not attempt to take the lazy way out by watching this adaptation of Dumas's novel. Two hours will never be enough time to adequately express the majestic beauty of this novel written by a phenomenal storyteller. Having said that, I enjoyed immensely this version of the story starring Jim Caviezel, Guy Pearce, and Richard Harris. Period pieces are often fun to watch, and this one is no exception. With a few problematic exceptions, ""The Count of Monte Christo"" is an entertaining film.<p>The tale, if you are not familiar with it, focuses on a French sailor named Edmond Dantes. On a trading trip back to Marseilles, Dantes had the misfortune to stop at the island of Elba, the home of the exiled emperor Napoleon Bonaparte. With his captain dead, Dantes arrives in port and is promptly promoted to become the new captain. This step up in status angers several people around Dantes, specifically Danglars, Villefort, and Mondego. The three conspire to have Edmond arrested on charges of treason and thrown into a political prison called the Chateau D'If. Dantes spends years suffering in solitary confinement, although he eventually meets an elderly prisoner named Faria who educates him while they plan their escape. Moreover, this prisoner tells Edmond about a fabulous treasure that could be his for the taking. Eventually, Dantes escapes and embarks on a series of adventures that finds him returning to seek revenge against his enemies under the name ""Le Comte de Monte Christo.""<p>This very short description of Dumas's novel obviously leaves out much of the plot. It also highlights the inherent difficulties in translating ""The Count of Monte Christo"" into a two-hour film. There is just too much detail, characters, and sub-plots in the novel to work with. The revenge plots Dantes formulates against his enemies alone are of such length and complexity that it would take hours to encapsulate them on the silver screen. Throw in the sub-plot of the Italian bandit Luigi Vampa (who does appear in the film), which is of immense importance in the novel, and it is impossible to adequately convey the full majesty of this classic on celluloid. Fortunately, this film manages to entertain while retaining key elements of the written story.<p>The first part of the movie hews closely to the novel with a few notable exceptions. The film begins with Edmond and his friend Mondego landing on Elba, where they have a shoot out with British security forces before personally meeting the deposed emperor. Back in Marseilles, we meet Mercedes, Dantes girlfriend and a character who plays a big role in the written story. The filmmakers do insert a warden for Chateau D'If, played by actor Michael Wincott, who does not appear in the book. If you are familiar with Wincott, you will remember his voice and his presence. He makes a great addition here and has the best lines in the film. <p>By the time Dantes returns to society as the Count, the film diverges wildly from the story. The revenge Edmond seeks here is too pat and too easily resolved. In the book, his vengeance is intricately planned and executed slowly over many, many pages. By shortening this sequence, the filmmakers sacrifice the suspense of the novel to time constraints and a waning attention span common in today's moviegoers. To be fair, the movie never tries to be a literal interpretation of the book (or so says screenwriter Jay Wolpert in an interview on the disc). In some ways, deviating from the book does make the story more compelling. The sword fights are great fun to watch, especially the final showdown between Dantes and Mondego. The scene where Dantes provides a way out for Villefort and then pulls back at the last second is a nice touch as well. Overall, although I think more elements of the book should have been kept in the story, the movie succeeds.<p>Many extras on the disc make this well worth picking up. There is a short documentary about Alexandre Dumas, a location documentary, four deleted scenes with commentary, a film commentary from director Kevin Reynolds, a detailed explanation on how the sword fights were shot and choreographed, and an interview with writer Jay Wolpert. The picture quality and sound is top notch. I recall that this film disappeared from the theaters quickly, perhaps due to an aversion for period pieces or competition from one of those effects laden clunkers they foist on us every few months. I found ""The Count of Monte Christo"" entertaining and technically well done, and would certainly view it again."
B000063W1R,A3L2U581LL17EB,26,27,4.0,1032307200,A spirited adventure.,"This most recent adaptation of Alexandre Dumas' classic novel isn't going to please all the fans, particularly those who demand rigorous adherence to the source material (I never did understand such people's way of thinking; a movie is never bad just because it strays from the source) but it most certainly will please moviegoers in the mood for a period piece adventure, and as such a film, The Count of Monte Cristo never fails to entertain for every bit of its running time. <p>Jim Caviezel stars as Edmond Dantes, a rather poor and uneducated man who has a life that his rich friend, Fernand Mondego (Guy Pearce) envies. Dantes has just been promoted to captain of his ship after he and his crew returned from a brief, unanticipated stop in Elba, where Napoleon had given Dantes a letter to give to a ""friend."" Mondego is particularly jealous that Dantes' fiancee is Mercedes (Dagmara Dominczyk), their childhood friend who has grown into an utterly beautiful woman. <p>Mondego sets out to destroy Dantes life by telling French officials of the letter, which leads to Dantes' arrest. He is banished in a prison located on an island rather far from the mainland. As the years pass, another prisoner, Faria (Richard Harris), actually tunnels his way into Dantes cell. With his help, Faria believes they can dig to the outer wall, and in return, he will teach Dantes how to read, write, and fight with a sword. As soon as he makes his escape, Dantes plans his vengeance against those who betrayed him.<p>There's actually a LOT more plot than what I've stated, which probably already sounds hefty, but there are a lot of things I'd rather not give away. While not without some flaws, The Count of Monte Cristo is rousing entertainment and is probably the best period piece adventure in recent years (personally, I found it more enjoyable than The Patriot, Rob Roy, and The Last of the Mohicans). <p>The film's first seventy minutes represent marvelous entertainment, consistently gaining momentum with every scene that goes by as we grow more and more compelled by the story. The film stumbles only slightly in the third act, when Dantes eventually encounters all those who destroyed his life so many years ago, and sets in motion a plan for his own vengeance. It's in this lengthy segment that a few moments drag (but only a few) and some scenes feel a little hard to swallow (that Pearce's Mondego wouldn't recognize Dantes). The climax feels a little silly, in that seemingly all the lead characters pop out from nowhere to either fight or reveal long-held secrets. <p>But thankfully, such flaws are only mild and hardly detrimental. This is a well-acted, well-written, and surprisingly well-directed tale of revenge. As Dantes, Caviezel excels, making a believable transformation from a kind-hearted, innocent man to one whose heart has been hardened through so many years. Guy Pearce chews the scenery quite well as Mondego; he seems to be having a great time playing the greedy antagonist. It's nice to see that Pearce, who usually plays likable characters (as in L.A. Confidential and The Time Machine), is up to the task of giving us a villain to hiss at. <p>The other performances aren't quite as vital, though Richard Harris is good as Faria, and Luis Guzman is often hilarious as Dantes' right-hand man (the scene where Guzman tells Dantes how to handle the massive amounts of gold they just found is the biggest laugh I've had all year). Dagmara Dominczyk is pretty decent, though her acting is mostly overshadowed by her beauty, a back-handed compliment, I suppose.<p>The Count of Monte Cristo actually doesn't feature that much in the way of adrenaline-pumping action. Despite all the claims this is a swashbuckler, there are only three swordfights (and one knifefight), and each of these scenes last no longer than maybe two minutes. But the appeal of this film isn't in the action, it's watching a plot that unfolds with little twists and turns that, though often expected, engaged me because I cared about the situation and the fate of the characters.<p>There was obviously a lot of work put into the way this film looks. The cinematography is gorgeous and the sets are magnificent, with splendor I have rarely seen rendered so well in period pieces. The film was directed by Kevin Reynolds, who may yet have a career again after his critical disaster, Waterworld (which actually wasn't half-bad). Highly recommended, The Count of Monte Cristo is great fun all the way.<br />**** 1/2 out of *****"
